clip	preset	tool	tool_version	date	frames	in_bytes	out_bytes	ratio	notes
A001_001	lossless	reference	-	-	225	2841868800	567984540	5.00	dark/low-detail scene; 3856x2170 12-bit packed; output = 64 tiles 482x272
A001_001	lossless	frameprism	0.1.0	-	225	2841868800	567984274	5.00	regenerated with the per-component-DHT patched libjpeg + even-size tiles + per-tile adaptive encode (3 candidates {wrap-PSV7, wrap-PSV2, natural-PSV1}, smallest post-pad wins) + last-row tiles padded to full-272 geometry (pad rows repeat the last two real rows); 14386/14400 tiles byte-identical to the reference golden (14 within the same structural envelope; clip total 266 B SMALLER than the reference); --verify bit-exact 225/225; rawpy 0/8,367,520 on f1/f113/f225 + all 7 mismatch-choice frames; Resolve decode oracle9: 0 failures (was per-frame decode failures = Media Offline before the fix)
A001_001	log10	frameprism	0.1.0	-	225	2841868800	410222194	6.93	regenerated with per-component DHTs + even-size tiles + per-tile adaptive encode + last-row padding; all 14400 tiles inside the reference contract {7-wrap,2-wrap,1-nat} (0 odd, TcTh (0,1), SOS (0,0)/(1,0)); content = our 2-doubling LUT (differs from the SoC's curve by design); -2.5% bytes vs the pre-fix 420654261 B (6.76:1 -> 6.93:1); --verify 225/225 (LUT-domain max 2 LSB, mean 0.57); Resolve oracle9: 0 failures
A001_001	downscale2x	frameprism	0.1.0	-	225	2841868800	165964086	17.12	regenerated with the VENDOR-STAIRCASE decimation P[y,x]=o[2y+(x&1),2x+(y&1)] — SUPersedes the even/even decimation, which kept ONLY the (0,0) CFA phase (single-phase plane; the maintainer's playback test: rendered MAGENTA in Resolve while lossless/log10 were fine). The staircase is phase-correct for the fp's symmetric 2x2 pattern (33422 (0,1,1,2) = W G / G R; every output position carries its declared class) and matches the SoC's decimation (content fit vs the SoC-decoded f1: 77.48% pixel-exact, MAE 0.2615 = the SoC's unidentifiable ±1-2 LSB δ; per-class means ≈ original ≈ reference). decimation_rule() picks staircase for symmetric patterns and a phase-exact mapping (o[2y+((y-t)&1),2x+((x-l)&1)]) for asymmetric patterns / non-zero CFAPlaneLeft/Top anchors — see downscale.rs. 165,964,086 B = 17.12:1 (was 160,396,664 = 17.72:1 even/even; reference 152,628,478 = 18.62:1, ours +8.7% — same algorithm + same contract, the delta is the SoC's internal δ transform, not identifiable); all 3600 tiles inside the reference contract (0 odd, TcTh (0,1), selectors, full-272 last rows, Ss=1⇔natural per frame); --verify (G3 ljpeg_ref gate — rawpy corrupts the SoC's wrapped ds2x tiles too, so rawpy is NOT the ds2x content canary) 225/225; checksums 225/225; Resolve decode oracle10: 0 failures (reference ds2x control 0)
A001_001	log10-downscale2x	frameprism	0.1.0	-	225	2841868800	123785534	22.96	regenerated with the reference-staircase decimation (see the downscale2x row — the even/even rule was a single-phase plane = magenta cast, the maintainer's playback test); log10 curve over the phase-correct decimated plane. 123,785,534 B = 22.96:1 (was 118,913,910 = 23.90:1); all 3600 tiles inside the reference contract; --verify 225/225; checksums 225/225; not a reference preset (ours only)
A001_001	vbr-hq	frameprism	0.1.0	-	225	2841868800	46867977	60.64	lossy 34892: 12->8 downshift (v12>>4) + 64 x 1-component baseline-DCT tiles (SOF==tile area, 8-bit); VBR fixed quality q60; tag plan: Compression 1->34892, BitsPerSample 12->8, Photometric 32803->34892 (LinearRaw), ColorMatrix 50721/50722 dropped, LinearizationTable 50712 SHORTx256 (LUT[i]=i*16), NewRawImageDigest 51111=MD5 of per-tile MD5s; CFA/BlackLevel/WhiteLevel-4095 kept; --verify 225/225 (8-bit MAE 0.06-0.43, PSNR 50-58 dB + metadata gate recomputes digest); dark/low-detail clip => ratio far above the typical-content ~3-4:1 target (content-correct, verified by MAE/PSNR); rawpy/LibRaw mono-lossy: LibRawIOError (documented limitation; own DNG-SDK-contract decode = acceptance gate)
A001_001	vbr-lt	frameprism	0.1.0	-	225	2841868800	45994901	61.79	lossy 34892 VBR light preset (fixed quality q35; same tag plan as vbr-hq); --verify 225/225 (8-bit MAE 0.06-0.56, PSNR 48-57 dB); dark clip; rawpy/LibRaw mono-lossy: LibRawIOError (documented limitation; own DNG-SDK-contract decode = acceptance gate)
A001_001	cbr3	frameprism	0.1.0	-	225	2841868800	196723341	14.45	lossy 34892 CBR ~3:1: per-frame binary-search libjpeg quality closest-under in_bytes/3*1.05 (+-3 linear refine); dark clip => limit non-binding for every frame (max frame 1.44 MB < even the cbr7 limit 1.89 MB) => all 225 frames at q100, byte-identical to cbr4/cbr5/cbr7 (CBR differentiates only on harder content); --verify 225/225; rawpy/LibRaw mono-lossy: LibRawIOError (documented limitation; own DNG-SDK-contract decode = acceptance gate)
A001_001	cbr4	frameprism	0.1.0	-	225	2841868800	196723341	14.45	lossy 34892 CBR ~4:1 (per-frame quality search, target in_bytes/4*1.05); on this dark clip the limit is non-binding => q100 all frames, output byte-identical to cbr3 (same as cbr5/cbr7); --verify 225/225; rawpy/LibRaw mono-lossy: LibRawIOError (documented limitation; own DNG-SDK-contract decode = acceptance gate)
A001_001	cbr5	frameprism	0.1.0	-	225	2841868800	196723341	14.45	lossy 34892 CBR ~5:1 (per-frame quality search, target in_bytes/5*1.05); dark clip => non-binding => q100 all frames, byte-identical to cbr3/cbr4 (same as cbr7); --verify 225/225; rawpy/LibRaw mono-lossy: LibRawIOError (documented limitation; own DNG-SDK-contract decode = acceptance gate)
