component	expected	probe	path-or-note
cjxl/djxl	v0.12.0 1cad73c	version-contains --version	deps/pinned-binaries/{cjxl,djxl} (committed; a local build of libjxl v0.12.0 1cad73c; env overrides: CI_CJXL_BIN / CI_DJXL_BIN)
cjxl-sha256	c83f43a6929cc0b93093eebfad85eb8e40dc6dfd2d63185a4e50b382fed44ce2	sha256-equal	deps/pinned-binaries/{cjxl,djxl} (committed; a local build of libjxl v0.12.0 1cad73c; env overrides: CI_CJXL_BIN / CI_DJXL_BIN)
djxl-sha256	fc6d1a5b3f1b9912f64fc24aba23f8e06c375148fb9879ff49d22769f41fea8e	sha256-equal	deps/pinned-binaries/{cjxl,djxl} (committed; a local build of libjxl v0.12.0 1cad73c; env overrides: CI_CJXL_BIN / CI_DJXL_BIN)
zstd	1.5.7	lock-grep zstd-sys	zstd (in-process — the bake container is built by the `zstd` crate's bundled libzstd, no system-tool subprocess: the row pins the LIBZSTD version, not a tool — tool/Cargo.lock's `zstd-sys` entry carries the sys-crate version + the libzstd version as a `+zstd.<libzstd>` suffix (the zstd-sys version-suffix convention; the libzstd source is the `zstd-sys` crate's vendored C tree at exactly that version). Probe: CI check-pins.sh asserts the expected against the lock's zstd-sys suffix; the tool's pin self-check (frameprism --check-pins) asserts the same expected against the binary-embedded `zstd_safe::version_string()` (the bundled libzstd's own version string, read at runtime — no subprocess). The bake sidecar reports `zstd_version: zstd 1.5.7 (in-process)`; the `zstd` crate 0.14.0 + `zstd-safe` 8.0.0 ride the same lock pin. A drift is a byte-shape risk: the container bytes are a pure function of the crate + libzstd versions.)
tar	0.4.46	lock-grep tar	tar (in-process — the bake container is built by the `tar` crate, no system-tool subprocess: the row pins the TAR CRATE version — tool/Cargo.lock's `tar` entry (the USTAR writer; the crate's `xattr` default feature is OFF — the container must not carry xattrs; the lock's `tar` entry is the single source). Probe: CI check-pins.sh asserts the expected against the lock's tar entry; the tool's pin self-check asserts the same expected against the binary-embedded build.rs value (the version the build read from the committed lock — the two cannot drift independently). The bake sidecar reports `tar_version: tar 0.4.46 (in-process)`. A drift is a byte-shape risk: the container bytes are a pure function of the crate version.)
fstool	0.4.33	lock-grep fstool	fstool (in-process — the bake --iso image is built by the `fstool` crate's ISO9660+Joliet+Rock Ridge writer + the pin-times pass, no external-binary subprocess: the row pins the FSTOOL CRATE version — tool/Cargo.lock's `fstool` entry (the `iso9660` feature, default-features off; the lock's `fstool` entry is the single source). Probe: CI check-pins.sh asserts the expected against the lock's fstool entry; the tool's pin self-check (frameprism --check-pins) asserts the same expected against the binary-embedded build.rs value (the version the build read from the committed lock — the two cannot drift independently). A drift is a byte-shape risk: the image's directory record layout is a pure function of the crate version (the record-date fields are pinned by the pin-times pass to the epoch constant — writer-independent).
python3	Python 3	version-contains --version	python3 (PATH — the fixture-provenance gate step's interpreter (ci/check.sh step 2: ci/fixture-templates/generate_fixtures.py regenerates the 12 committed oracle source fixtures and byte-compares them); the system/runner preinstalled python3, stdlib only: zero external setup)
tool	0.2.0	toml-grep	tool/Cargo.toml (grep 'version = "<expected>"' — the public tool version; the pin self-check (frameprism --check-pins) asserts the committed pins.tsv rows against the binary-embedded values — the two cannot drift independently)
suite	592 passed; 0 failed; 1 ignored	probed-by-check.sh	cargo test --release --lib gate line (asserted by check.sh step 3). SCOPE NOTE: the suite pin is scoped to `--lib` (the shipped lib tests). An ALL-targets `cargo test --release` additionally runs the `vdct_probe` research-probe bin's 15 tests, which fail in this environment (fs::read NotFound — the DCT research TIFF fixtures are not committed; research probes are not shipped features) — expected + by design, not a regression. The gate runs `--lib`. Corpus-conditional note: the per-gate grid golden rows + the per-row golden encode/decode structural + pixel-exact rows (over the pinned test corpus — testdata/manifest.tsv) are corpus-conditional: they skip on a clean checkout (the corpus is private — the skip lines are named, never silent) and run not skipped where the corpus is present.
oracle10	67762584	probed-by-check.sh	10f oracle total bytes (byte-identity, ci/oracle10/; asserted by check.sh step 6)
oracle108	2380943	probed-by-check.sh	10/8-bit JXL oracle total bytes (byte-identity, ci/oracle108/; asserted by check.sh step 7)
cargo-audit	0.22.2	version-contains --version	deps/pinned-binaries/cargo-audit (committed; pinned rustsec/ cargo-audit v0.22.2 aarch64-apple-darwin binary, env override CI_CARGO_AUDIT_BIN)
cargo-audit-sha256	33fbe81adca1b794f4ffe98574d59b0ebe6fcfdb310976fafed98a094c795111	sha256-equal	deps/pinned-binaries/cargo-audit (committed; pinned rustsec/ cargo-audit v0.22.2 aarch64-apple-darwin binary, env override CI_CARGO_AUDIT_BIN)
advisory-db	ec3f1b819ad0f8ca2565d8814036b446b8303de2260718160419f00f9b732693	tree-sha256	deps/rustsec-advisory-db (committed snapshot of rustsec/advisory-db @ e2e640471715167f73e22eaf761f2e547adafeec (1265 content files, the .git dir stripped at commit); refresh = a maintainer step with a fresh clone — never from CI)
fuzz-corpus	6ae1a0747e0580e6aed63c847775b2f8e9629341af822c0eb2a3dd674d23080f	tree-sha256	ci/fuzz-corpus (committed fixtures + base-frame.dng + generator; class B derives from the committed base — no re-encode needed to regenerate; the observed Homebrew libjpeg-turbo decode is involved in the class-A/B outcomes — a turbojpeg upgrade is a named drift, see docs/security.md)
fuzz-outcome	25 entries, 24 refused, 1 ok, 0 crash, 0 corrupted-write, 0 input-mutated	probed-by-check.sh	the pinned fuzz outcome report — asserted by check-fuzz.sh (class pins: ci/fuzz-corpus/expected.tsv)
turbojpeg	3.2.1	pc-grep deps/.jpeg-prefix/lib/pkgconfig/libturbojpeg.pc	the version the byte contract links (deps/.jpeg-prefix — COMMITTED; source: libjpeg-turbo @ d9b5af99e53591c0b51ba82bea3a0874b78c4c20 + the committed libjpeg-percomp-lossless.patch, pinned in deps/fetch.sh; the probe reads the same first-Version-line of the same .pc that tool/build.rs reads for the reports' build-time fact line — the two surfaces cannot drift independently; the Homebrew jpeg-turbo formula is a dev fallback only (build.rs with no JPEG_TURBO_PREFIX) — the contract never links it)
turbojpeg-prefix	e0babbf7aa856387ad809daedf1dc2a7bb18c5128a95e5e21fbf2b5c73f66e2a	tree-sha256	deps/.jpeg-prefix/{lib,include} (COMMITTED — the byte contract's build input: libjpeg.a + libturbojpeg.a + pkgconfig + cmake config + headers; 13 files, tj 3.2.1, built from the pinned source + patch with AppleClang 21.0.0.21000334; the committed bytes ARE the contract (cjxl/djxl posture) — a rebuild from a different source/toolchain changes this pin = a named FAIL; the recipe + provenance: deps/README.md + deps/build-libjpeg.sh; a prefix upgrade = a deliberate named migration: rebuild → re-pin → re-verify the oracles)
jxl-libs	d89bec228eefca0aa7434be130aa51784e031a4a1e25474dab05beddc756a131	tree-sha256	deps/.jxl-libs (COMMITTED — the pinned cjxl/djxl binaries' runtime dylib dependency: libjxl.0.12.dylib + libjxl_threads.0.12.dylib + libjxl_cms.0.12.dylib, the EXACT @rpath names the binaries reference; the binaries' baked LC_RPATH is dead (the build dir it pointed at no longer exists) — so resolution goes via DYLD_FALLBACK_LIBRARY_PATH=deps/.jxl-libs, exported by the named line in every ci script that spawns a cjxl/djxl process (check-pins.sh, check-108.sh); provenance: rebuilt from upstream libjxl @ v0.12.0 (tag a7a9c787), AppleClang 21.0.0.21000334, CMake Release, BUILD_SHARED_LIBS=ON, library targets only, bundled brotli/highway/skcms at libjxl's pinned submodule SHAs (brotli forced STATIC so the committed set stays exactly the 3 referenced dylibs, self-contained); recipe: deps/build-libjxl.sh; behavioral canary: ci/check-108.sh (oracle108 10/10 @ 2,380,943 B); the committed bytes ARE the contract (TJPINS posture) — a rebuild = a deliberate named migration: rebuild → re-pin this row → re-verify the oracles)
jxl-oxide	0.12.6	probed-by-check.sh	ci/jxl-xcheck/Cargo.lock (COMMITTED pin — the independent-decoder version the xcheck gate runs; =0.12.6 in ci/jxl-xcheck/Cargo.toml; contains the integer-overflow fixes GHSA-5pmv-rx8r-wmv5 / GHSA-2v8p-fqpx-2q3w; probe-kind note: the lock's jxl-oxide name+version pair is asserted by the harness's pre-decode pin check (ci/check-xcheck.sh, the check.sh step that runs it), OK by record like the other pipeline-asserted pins — the lock-grep probe kind (the in-process zstd/tar rows) is established in check-pins.sh)
